,value,metric,type
205,0.06403891989445382,fde,ml
206,4.199477842347226,fde,ml
207,3.9786203007871945,fde,ml
208,0.06377014716017546,fde,ml
209,1.8060229528435436,fde,ml
210,0.0717756843948063,fde,ml
211,0.06517557200093209,fde,ml
212,2.367643329184462,fde,ml
213,0.6867649603842853,fde,ml
214,0.06514917542741436,fde,ml
215,0.9808216888299875,fde,ml
216,2.4976896762588896,fde,ml
217,0.06833881489710711,fde,ml
218,2.4539119031870187,fde,ml
219,2.418260814994416,fde,ml
220,0.06722278988925458,fde,ml
221,3.0697486976406574,fde,ml
222,4.485728121546619,fde,ml
223,0.06609198937107498,fde,ml
224,3.1381526005696867,fde,ml
225,3.7200066792999773,fde,ml
226,0.06509875693426688,fde,ml
227,4.991174931678219,fde,ml
228,1.624741876632209,fde,ml
229,0.06627527980964351,fde,ml
230,5.1803429197744615,fde,ml
231,1.7554295437807261,fde,ml
232,0.0662453717993297,fde,ml
233,9.708154597559632,fde,ml
234,8.651489449735699,fde,ml
235,0.06440878471160744,fde,ml
236,4.2136588298000826,fde,ml
237,4.943879446561292,fde,ml
238,0.06440045367427315,fde,ml
239,3.5718897092921713,fde,ml
240,3.955801360082477,fde,ml
241,0.06558507349836717,fde,ml
242,3.240999015275244,fde,ml
243,4.071094889292327,fde,ml
244,0.06505395704145894,fde,ml
245,1.49768289787244,fde,ml
246,0.890931830095181,fde,ml
247,0.06551102758894992,fde,ml
248,0.06543500683374871,fde,ml
249,0.06418916813582567,fde,ml
250,0.06385144396651954,fde,ml
251,0.07284082665755326,fde,ml
252,0.07284082665755326,fde,ml
253,0.07284082665755326,fde,ml
254,0.07284082665755326,fde,ml
255,0.07284082665755326,fde,ml
256,3.776352635985273,fde,ml
257,0.07476006564633549,fde,ml
258,5.22633092823987,fde,ml
259,0.1480623150370076,fde,ml
260,5.987392248606678,fde,ml
261,0.46256351443622296,fde,ml
262,5.069974327851188,fde,ml
263,1.1076962377203206,fde,ml
264,0.7734644198041443,fde,ml
265,1.892858651547178,fde,ml
266,3.7148370882616377,fde,ml
267,3.0382625423418186,fde,ml
268,0.477460985818339,fde,ml
269,4.205487174070691,fde,ml
270,0.9416854824183671,fde,ml
271,5.7725516469482105,fde,ml
272,5.643694656480445,fde,ml
273,7.029398316143837,fde,ml
274,3.0515496797935797,fde,ml
275,2.9338349381392805,fde,ml
276,2.20265322190926,fde,ml
277,1.6732205755372795,fde,ml
278,1.677768877580347,fde,ml
279,1.6582967579197279,fde,ml
280,7.008406621458016,fde,ml
281,2.740548684766803,fde,ml
282,4.965321102566451,fde,ml
283,2.3072554164260617,fde,ml
284,1.5640784471355733,fde,ml
285,1.9195068876656454,fde,ml
286,0.8222235675550368,fde,ml
287,1.495347768358449,fde,ml
288,1.5975560490979435,fde,ml
289,0.2520983889140312,fde,ml
290,4.036081408449697,fde,ml
291,3.7052560592466137,fde,ml
292,5.726495071419454,fde,ml
293,2.706552274147505,fde,ml
294,1.541585529540018,fde,ml
295,0.7946857121892107,fde,ml
296,1.631897620647746,fde,ml
297,4.136624761218677,fde,ml
298,3.4334635133227103,fde,ml
299,5.016047045634913,fde,ml
300,1.2452233988409946,fde,ml
301,2.4787563679166316,fde,ml
302,0.8851764157329011,fde,ml
303,2.0371333390481015,fde,ml
304,2.261079609547022,fde,ml
305,2.2160033718548755,fde,ml
306,1.2601544395640425,fde,ml
307,1.5961903619509181,fde,ml
308,2.225441678342185,fde,ml
309,1.8000900552692904,fde,ml
310,1.0799341069331678,fde,ml
311,2.0632798713645335,fde,ml
312,3.6237594743119486,fde,ml
313,1.9648133984874452,fde,ml
314,2.8824114542272015,fde,ml
315,2.758903240669067,fde,ml
316,0.8264405123475912,fde,ml
317,3.414147712421176,fde,ml
318,1.6662780943809485,fde,ml
319,3.138016725220969,fde,ml
320,2.9257033857972514,fde,ml
321,1.4541101482150465,fde,ml
322,4.330893537897843,fde,ml
323,1.5669866397265504,fde,ml
324,2.2747841396013,fde,ml
325,1.044016290990285,fde,ml
326,0.8025421086381697,fde,ml
327,0.7298440171715332,fde,ml
328,3.511041528419911,fde,ml
329,0.35616400520714725,fde,ml
330,1.470916827962495,fde,ml
331,0.7053764759486344,fde,ml
332,0.8061385934080838,fde,ml
333,1.685193099230446,fde,ml
334,1.8591000647426883,fde,ml
335,2.335734099152691,fde,ml
336,5.693165725672259,fde,ml
337,2.1720103798956534,fde,ml
338,2.3315849906054558,fde,ml
339,0.4840274825001431,fde,ml
340,4.192080706764029,fde,ml
341,1.603181415529928,fde,ml
342,1.7278666068681077,fde,ml
343,3.155690934198378,fde,ml
344,0.46727279000961164,fde,ml
345,1.0573188157411217,fde,ml
346,3.5786804204017324,fde,ml
347,0.8330935131784762,fde,ml
348,2.770254954573866,fde,ml
349,4.321081572912024,fde,ml
350,3.503045209260689,fde,ml
